make,model,yom,transmission,fuel_type,engine_capacity,mileage,price
BMW,730LD M-SPORT,2011,AUTOMATIC,DIESEL,3000,132000,38500000
BMW,740E,2017,AUTOMATIC,PETROL,2000,83000,45000000
BMW,F30 318I,2016,AUTOMATIC,PETROL,1500,60000,22800000
BMW,523I,2010,AUTOMATIC,PETROL,2500,155000,17000000
BMW,320D E46,2000,MANUAL,DIESEL,2000,133000,7500000
BMW,740E M SPORT INDIVIDUAL,2018,AUTOMATIC,PETROL,2000,38000,42790000
PERODUA,VIVA ELITE,2011,MANUAL,PETROL,1000,144000,4100000
PERODUA,KENARI,2008,AUTOMATIC,PETROL,989,152000,1500000
PERODUA,VIVA ELITE,2008,AUTOMATIC,PETROL,1000,142000,1400000
PERODUA,KELISA,2007,AUTOMATIC,PETROL,1000,133000,3800000
PERODUA,VIVA ELITE,2011,MANUAL,PETROL,1000,144000,4075000
